# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	407	1747	+					dnaA		BA_RS00005	1341		old_locus_tag=BA0001,BA_0001
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	407	1747	+	WP_000428021.1	WP_000428021.1		chromosomal replication initiator protein DnaA	dnaA		BA_RS00005	1341	446	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	1926	3065	+					dnaN		BA_RS00010	1140		old_locus_tag=BA0002,BA_0002
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	1926	3065	+	WP_001212525.1	WP_001212525.1		DNA polymerase III subunit beta	dnaN		BA_RS00010	1140	379	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	3193	3405	+					yaaA		BA_RS00015	213		old_locus_tag=BA0003,BA_0003
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	3193	3405	+	WP_000821367.1	WP_000821367.1		S4 domain-containing protein YaaA	yaaA		BA_RS00015	213	70	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	3418	4545	+					recF		BA_RS00020	1128		old_locus_tag=BA0004,BA_0004
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	3418	4545	+	WP_000470753.1	WP_000470753.1		DNA replication/repair protein RecF	recF		BA_RS00020	1128	375	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4584	6506	+					gyrB		BA_RS00025	1923		old_locus_tag=BA0005,BA_0005
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	4584	6506	+	WP_000435993.1	WP_000435993.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		BA_RS00025	1923	640	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	6595	9066	+					gyrA		BA_RS00030	2472		old_locus_tag=BA0006,BA_0006
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	6595	9066	+	WP_001282851.1	WP_001282851.1		DNA gyrase subunit A	gyrA		BA_RS00030	2472	823	
gene	rRNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	9308	10859	+							BA_RS00035	1552		old_locus_tag=BA_5739
rRNA		GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	9308	10859	+				16S ribosomal RNA			BA_RS00035	1552		
gene	tRNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	10992	11068	+							BA_RS00040	77		old_locus_tag=BA_5740
tRNA		GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	10992	11068	+				tRNA-Ile			BA_RS00040	77		anticodon=GAT
gene	tRNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	11077	11152	+							BA_RS00045	76		old_locus_tag=BA_5741
tRNA		GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	11077	11152	+				tRNA-Ala			BA_RS00045	76		anticodon=TGC
gene	rRNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	11233	14154	+							BA_RS00050	2922		old_locus_tag=BA_5742
rRNA		GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	11233	14154	+				23S ribosomal RNA			BA_RS00050	2922		
gene	rRNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	14203	14318	+					rrf		BA_RS00055	116		old_locus_tag=BA_5743
rRNA		GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	14203	14318	+				5S ribosomal RNA	rrf		BA_RS00055	116		
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	14353	15352	-							BA_RS00060	1000		pseudo;old_locus_tag=BA0007,BA_0007
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	14353	15352	-				YaaC family protein			BA_RS00060	1000		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	15468	16931	+					guaB		BA_RS00065	1464		old_locus_tag=BA0008,BA_0008
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	15468	16931	+	WP_000264082.1	WP_000264082.1		IMP dehydrogenase	guaB		BA_RS00065	1464	487	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	17045	18352	+					dacA		BA_RS00070	1308		old_locus_tag=BA0009,BA_0009
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	17045	18352	+	WP_011053075.1	WP_011053075.1		D-alanyl-D-alanine carboxypeptidase DacA	dacA		BA_RS00070	1308	435	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	18514	19401	+					pdxS		BA_RS00075	888		old_locus_tag=BA0010,BA_0010
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	18514	19401	+	WP_000186153.1	WP_000186153.1		pyridoxal 5'-phosphate synthase lyase subunit PdxS	pdxS		BA_RS00075	888	295	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	19420	20010	+					pdxT		BA_RS00080	591		old_locus_tag=BA0011,BA_0011
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	19420	20010	+	WP_000238798.1	WP_000238798.1		pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	pdxT		BA_RS00080	591	196	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	20338	21612	+					serS		BA_RS00085	1275		old_locus_tag=BA0012,BA_0012
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	20338	21612	+	WP_000884181.1	WP_000884181.1		serine--tRNA ligase	serS		BA_RS00085	1275	424	
gene	tRNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	21769	21861	+							BA_RS00090	93		old_locus_tag=BA_5744
tRNA		GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	21769	21861	+				tRNA-Ser			BA_RS00090	93		anticodon=TGA
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	22028	22420	+							BA_RS00095	393		old_locus_tag=BA0013,BA_0013
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	22028	22420	+	WP_000364201.1	WP_000364201.1		DUF3797 domain-containing protein			BA_RS00095	393	130	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	22456	23124	-							BA_RS00100	669		old_locus_tag=BA0014,BA_0014
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	22456	23124	-	WP_001053585.1	WP_001053585.1		deoxynucleoside kinase			BA_RS00100	669	222	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	23127	23762	-							BA_RS00105	636		old_locus_tag=BA0015,BA_0015
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	23127	23762	-	WP_000148227.1	WP_000148227.1		deoxynucleoside kinase			BA_RS00105	636	211	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	23888	24427	-							BA_RS00110	540		old_locus_tag=BA0016,BA_0016
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	23888	24427	-	WP_000798719.1	WP_000798719.1		cysteine hydrolase			BA_RS00110	540	179	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	24535	25035	+					tadA		BA_RS00115	501		old_locus_tag=BA0018,BA_0018
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	24535	25035	+	WP_000439010.1	WP_000439010.1		tRNA adenosine(34) deaminase TadA	tadA		BA_RS00115	501	166	
gene	SRP_RNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	25115	25379	+					ffs		BA_RS00120	265		
ncRNA	SRP_RNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	25115	25379	+				signal recognition particle sRNA large type	ffs		BA_RS00120	265		
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	25512	27200	+					dnaX		BA_RS00125	1689		old_locus_tag=BA0019,BA_0019
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	25512	27200	+	WP_000121566.1	WP_000121566.1		DNA polymerase III subunit gamma/tau	dnaX		BA_RS00125	1689	562	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	27226	27552	+							BA_RS00130	327		old_locus_tag=BA0020,BA_0020
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	27226	27552	+	WP_001996460.1	WP_001996460.1		YbaB/EbfC family nucleoid-associated protein			BA_RS00130	327	108	
